Truck ID;Truck size;Hired;Date;Time;Latitude;Longitude;Payload;Route ID;Includes JIT;Loaded time;Free time;Loaded hours;Free hours;City
43;10;false;2023-04-16;10:16;37.78627360000001;-122.4523413;;51;false;;0:03;;0.05;San Francisco
43;10;false;2023-04-16;10:20;37.8067224;-122.4313474;PU7994;51;false;0:13;;0.23;;San Francisco
43;10;false;2023-04-16;10:34;37.824687;-122.301563;;51;false;;;;;#Oakland
44;40;false;2023-04-16;10:00;37.805813;-121.295187;PU9825;52;true;2:10;;2.16;;#Lathrop
44;40;false;2023-04-16;12:10;36.8990807;-121.7489324;;52;false;;2:10;;2.16;Pajaro
44;40;false;2023-04-16;14:20;37.805813;-121.295187;;52;false;;;;;#Lathrop
44;40;false;2023-04-17;10:00;37.805813;-121.295187;PU8535;53;true;2:37;;2.61;;#Lathrop
44;40;false;2023-04-17;12:37;36.6563956;-121.6285158;;53;false;;2:37;;2.61;Salinas
44;40;false;2023-04-17;15:14;37.805813;-121.295187;;53;false;;;;;#Lathrop
44;40;false;2023-04-17;15:14;37.805813;-121.295187;PU9686;54;true;0:43;;0.72;;#Lathrop
44;40;false;2023-04-17;15:57;37.5958261;-120.9800252;;54;false;;0:43;;0.72;Modesto
44;40;false;2023-04-17;16:41;37.805813;-121.295187;;54;false;;;;;#Lathrop
44;40;false;2023-04-17;16:41;37.805813;-121.295187;PU9032;55;true;0:35;;0.58;;#Lathrop
44;40;false;2023-04-17;17:16;37.6480562;-121.0261599;;55;false;;0:35;;0.58;Modesto
44;40;false;2023-04-17;17:52;37.805813;-121.295187;;55;false;;;;;#Lathrop
44;40;false;2023-04-17;17:52;37.805813;-121.295187;PU9797;56;true;0:45;;0.75;;#Lathrop
44;40;false;2023-04-17;18:37;38.1443623;-121.3013475;;56;false;;0:45;;0.75;Lodi
44;40;false;2023-04-17;19:22;37.805813;-121.295187;;56;false;;;;;#Lathrop
44;40;false;2023-04-17;19:22;37.805813;-121.295187;PU8901;57;true;0:45;;0.75;;#Lathrop
44;40;false;2023-04-17;20:07;38.1443623;-121.3013475;;57;false;;0:45;;0.75;Lodi
44;40;false;2023-04-17;20:52;37.805813;-121.295187;;57;false;;;;;#Lathrop
44;40;false;2023-04-18;10:00;37.805813;-121.295187;PU9012;58;true;3:02;;3.03;;#Lathrop
44;40;false;2023-04-18;13:02;36.5340502;-121.9258446;;58;false;;2:56;;2.94;Carmel-By-The-Sea
44;40;false;2023-04-18;15:58;37.824687;-122.301563;PU8476;58;true;1:30;;1.51;;#Oakland
44;40;false;2023-04-18;17:29;38.493166;-122.4633226;;58;false;;1:30;;1.51;St Helena
44;40;false;2023-04-18;19:00;37.824687;-122.301563;PU7092;58;true;0:47;;0.79;;#Oakland
44;40;false;2023-04-18;19:47;37.6954267;-121.8815207;;58;false;;;;;Pleasanton
44;40;false;2023-04-18;19:47;37.6954267;-121.8815207;PU7091;58;false;1:03;;1.06;;Pleasanton
44;40;false;2023-04-18;20:51;37.805813;-121.295187;;58;false;;;;;#Lathrop
45;10;false;2023-04-16;10:00;37.805813;-121.295187;PU7023;59;true;1:21;;1.35;;#Lathrop
45;10;false;2023-04-16;11:21;38.4117358;-121.391504;;59;false;;0:29;;0.48;Elk Grove
45;10;false;2023-04-16;11:50;38.3867567;-121.6681981;PU8155;59;false;1:26;;1.44;;Dixon
45;10;false;2023-04-16;13:17;37.805813;-121.295187;;59;false;;;;;#Lathrop
45;10;false;2023-04-16;13:17;37.805813;-121.295187;;60;false;;2:58;;2.96;#Lathrop
45;10;false;2023-04-16;16:15;39.1165564;-120.9550581;PU7793;60;false;2:58;;2.96;;Colfax
45;10;false;2023-04-16;19:13;37.805813;-121.295187;;60;false;;;;;#Lathrop
45;10;false;2023-04-16;19:13;37.805813;-121.295187;;61;false;;0:45;;0.75;#Lathrop
45;10;false;2023-04-16;19:58;38.1443623;-121.3013475;PU9794;61;false;0:45;;0.75;;Lodi
45;10;false;2023-04-16;20:43;37.805813;-121.295187;;61;false;;;;;#Lathrop
47;20;false;2023-04-16;10:00;37.805813;-121.295187;PU7317;63;true;1:29;;1.49;;#Lathrop
47;20;false;2023-04-16;11:29;38.4597499;-121.493103;;63;false;;0:22;;0.38;Sacramento
47;20;false;2023-04-16;11:52;38.5278001;-121.6945676;PU8327;63;false;1:44;;1.74;;Davis
47;20;false;2023-04-16;13:37;37.805813;-121.295187;;63;false;;;;;#Lathrop
47;20;false;2023-04-16;13:37;37.805813;-121.295187;;64;false;;1:49;;1.81;#Lathrop
47;20;false;2023-04-16;15:26;38.5449065;-121.7405167;PU8087;64;false;1:49;;1.81;;Davis
47;20;false;2023-04-16;17:15;37.805813;-121.295187;;64;false;;;;;#Lathrop
47;20;false;2023-04-16;17:15;37.805813;-121.295187;;65;false;;1:40;;1.68;#Lathrop
47;20;false;2023-04-16;18:56;38.5325512;-121.5667216;PU8346;65;false;1:40;;1.68;;West Sacramento
47;20;false;2023-04-16;20:37;37.805813;-121.295187;;65;false;;;;;#Lathrop
48;20;false;2023-04-16;10:00;37.824687;-122.301563;PU9141;66;true;1:03;;1.06;;#Oakland
48;20;false;2023-04-16;11:03;38.3029149;-122.2803559;;66;false;;0:00;;0.01;Napa
48;20;false;2023-04-16;11:04;38.2964761;-122.2776617;PU9578;66;false;1:02;;1.04;;Napa
48;20;false;2023-04-16;12:07;37.824687;-122.301563;;66;false;;;;;#Oakland
49;10;false;2023-04-16;10:00;37.805813;-121.295187;PU8209;67;true;1:35;;1.59;;#Lathrop
49;10;false;2023-04-16;11:35;37.3402991;-120.6093822;;67;false;;1:35;;1.59;Atwater
49;10;false;2023-04-16;13:11;37.805813;-121.295187;;67;false;;;;;#Lathrop
49;10;false;2023-04-17;10:00;37.805813;-121.295187;PU7590;68;true;4:52;;4.86;;#Lathrop
49;10;false;2023-04-17;14:52;36.2966857;-119.3103326;;68;false;;0:40;;0.66;Visalia
49;10;false;2023-04-17;15:32;36.5814915;-119.4294724;PU9838;68;false;4:17;;4.28;;Reedley
49;10;false;2023-04-17;19:49;37.805813;-121.295187;;68;false;;;;;#Lathrop
49;10;false;2023-04-17;19:49;37.805813;-121.295187;;69;false;;0:35;;0.58;#Lathrop
49;10;false;2023-04-17;20:24;37.6952254;-120.993971;PU7844;69;false;0:35;;0.58;;Modesto
49;10;false;2023-04-17;20:59;37.805813;-121.295187;;69;false;;;;;#Lathrop
50;40;false;2023-04-16;10:00;37.805813;-121.295187;PU8637;70;true;0:33;;0.55;;#Lathrop
50;40;false;2023-04-16;10:33;37.71084800000001;-121.0036631;;70;false;;1:59;;1.99;Modesto
50;40;false;2023-04-16;12:33;36.8693886;-121.401483;PU8541;70;false;2:05;;2.08;;Hollister
50;40;false;2023-04-16;14:38;37.805813;-121.295187;;70;false;;;;;#Lathrop
50;40;false;2023-04-16;14:38;37.805813;-121.295187;;71;false;;2:37;;2.61;#Lathrop
50;40;false;2023-04-16;17:15;36.6563956;-121.6285158;PU8534;71;false;2:37;;2.61;;Salinas
50;40;false;2023-04-16;19:52;37.805813;-121.295187;;71;false;;;;;#Lathrop
53;10;false;2023-04-16;10:00;37.824687;-122.301563;PU7107;74;true;0:08;;0.13;;#Oakland
53;10;false;2023-04-16;10:08;37.8711347;-122.2508543;;74;false;;0:11;;0.19;Berkeley
53;10;false;2023-04-16;10:19;37.8521677;-122.1433138;PU9669;74;false;0:17;;0.28;;Orinda
53;10;false;2023-04-16;10:36;37.824687;-122.301563;;74;false;;;;;#Oakland
53;10;false;2023-04-16;10:36;37.824687;-122.301563;;75;false;;5:09;;5.15;#Oakland
53;10;false;2023-04-16;15:46;40.147279;-122.324788;PU9477;75;false;5:09;;5.15;;Red Bluff
53;10;false;2023-04-16;20:55;37.824687;-122.301563;;75;false;;;;;#Oakland
54;20;false;2023-04-16;10:00;37.824687;-122.301563;PU8381;76;true;0:37;;0.62;;#Oakland
54;20;false;2023-04-16;10:37;37.54439;-122.291992;;76;false;;0:03;;0.05;San Mateo
54;20;false;2023-04-16;10:40;37.5314283;-122.3154122;PU9111;76;false;0:39;;0.65;;San Mateo
54;20;false;2023-04-16;11:19;37.824687;-122.301563;;76;false;;;;;#Oakland
54;20;false;2023-04-16;11:19;37.824687;-122.301563;;77;false;;1:19;;1.32;#Oakland
54;20;false;2023-04-16;12:39;37.3271025;-121.8832188;PU7284;77;false;1:19;;1.32;;San Jose
54;20;false;2023-04-16;13:58;37.824687;-122.301563;;77;false;;;;;#Oakland
56;10;false;2023-04-16;10:00;37.805813;-121.295187;PU9350;79;true;1:39;;1.66;;#Lathrop
56;10;false;2023-04-16;11:39;38.527516;-121.5556804;;79;false;;1:39;;1.66;West Sacramento
56;10;false;2023-04-16;13:19;37.805813;-121.295187;;79;false;;;;;#Lathrop
56;10;false;2023-04-17;10:00;37.805813;-121.295187;PU9246;80;true;1:53;;1.89;;#Lathrop
56;10;false;2023-04-17;11:53;38.6462748;-121.4881974;;80;false;;1:53;;1.89;Sacramento
56;10;false;2023-04-17;13:47;37.805813;-121.295187;;80;false;;;;;#Lathrop
56;10;false;2023-04-17;13:47;37.805813;-121.295187;PU8419;81;true;3:03;;3.06;;#Lathrop
56;10;false;2023-04-17;16:51;39.1866446;-121.2647379;;81;false;;3:03;;3.06;Smartsville
56;10;false;2023-04-17;19:55;37.805813;-121.295187;;81;false;;;;;#Lathrop
56;10;false;2023-04-18;10:00;37.805813;-121.295187;PU9635;82;true;0:45;;0.75;;#Lathrop
56;10;false;2023-04-18;10:45;38.1443623;-121.3013475;;82;false;;0:45;;0.75;Lodi
56;10;false;2023-04-18;11:30;37.805813;-121.295187;;82;false;;;;;#Lathrop
56;10;false;2023-04-18;11:30;37.805813;-121.295187;PU7933;83;true;1:46;;1.77;;#Lathrop
56;10;false;2023-04-18;13:16;37.3181196;-120.5018038;;83;false;;1:46;;1.77;Merced
56;10;false;2023-04-18;15:02;37.805813;-121.295187;;83;false;;;;;#Lathrop
56;10;false;2023-04-18;15:02;37.805813;-121.295187;PU7952;84;true;1:40;;1.67;;#Lathrop
56;10;false;2023-04-18;16:43;38.2462144;-122.0673211;;84;false;;1:40;;1.67;Fairfield
56;10;false;2023-04-18;18:23;37.805813;-121.295187;;84;false;;;;;#Lathrop
56;10;false;2023-04-18;18:23;37.805813;-121.295187;PU8625;85;true;0:33;;0.55;;#Lathrop
56;10;false;2023-04-18;18:56;37.71084800000001;-121.0036631;;85;false;;0:33;;0.55;Modesto
56;10;false;2023-04-18;19:29;37.805813;-121.295187;;85;false;;;;;#Lathrop
56;10;false;2023-04-18;19:29;37.805813;-121.295187;PU8549;86;true;0:33;;0.55;;#Lathrop
56;10;false;2023-04-18;20:03;37.71084800000001;-121.0036631;;86;false;;0:02;;0.03;Modesto
56;10;false;2023-04-18;20:05;37.6952254;-120.993971;PU7833;86;false;0:35;;0.58;;Modesto
56;10;false;2023-04-18;20:40;37.805813;-121.295187;;86;false;;;;;#Lathrop
57;20;false;2023-04-16;10:00;37.805813;-121.295187;PU7281;87;true;4:22;;4.37;;#Lathrop
57;20;false;2023-04-16;14:22;36.3215055;-119.6736177;;87;false;;4:22;;4.37;Hanford
57;20;false;2023-04-16;18:45;37.805813;-121.295187;;87;false;;;;;#Lathrop
57;20;false;2023-04-17;10:00;37.805813;-121.295187;PU7395;88;true;2:03;;2.06;;#Lathrop
57;20;false;2023-04-17;12:03;36.879607;-121.4017372;;88;false;;2:03;;2.06;Hollister
57;20;false;2023-04-17;14:07;37.805813;-121.295187;;88;false;;;;;#Lathrop
57;20;false;2023-04-17;14:07;37.805813;-121.295187;PU8689;89;true;1:28;;1.47;;#Lathrop
57;20;false;2023-04-17;15:36;37.3639576;-121.9172657;;89;false;;1:13;;1.22;San Jose
57;20;false;2023-04-17;16:49;37.824687;-122.301563;PU8613;89;true;1:20;;1.34;;#Oakland
